n/#,U/V,U/V
1.0,0.13,0.32
2.0,0.13,0.3
3.0,0.12,0.36
4.0,0.13,0.33
5.0,0.12,0.29
6.0,0.13,0.56
7.0,0.12,0.83
8.0,0.14,1.08
9.0,0.15,1.28
10.0,0.17,1.49
11.0,0.19,1.73
12.0,0.22,1.94
13.0,0.25,2.12
14.0,0.28,2.33
15.0,0.3,2.55
16.0,0.31,2.75
17.0,0.32,2.96
18.0,0.34,3.11
19.0,0.37,3.35
20.0,0.41,3.54
21.0,0.48,3.71
22.0,0.56,3.92
23.0,0.63,4.07
24.0,0.69,4.25
25.0,0.73,4.46
26.0,0.75,4.61
27.0,0.75,4.82
28.0,0.75,4.96
29.0,0.76,5.09
30.0,0.76,5.33
31.0,0.8,5.44
32.0,0.85,5.6
33.0,0.95,5.72
34.0,1.1,5.89
35.0,1.23,6.05
36.0,1.38,6.2
37.0,1.49,6.31
38.0,1.56,6.46
39.0,1.59,6.64
40.0,1.58,6.76
41.0,1.55,6.91
42.0,1.51,7.03
43.0,1.48,7.16
44.0,1.46,7.27
45.0,1.48,7.41
46.0,1.51,7.53
47.0,1.6,7.68
48.0,1.71,7.8
49.0,1.88,7.93
50.0,2.09,8.05
51.0,2.33,8.16
52.0,2.55,8.28
53.0,2.76,8.4
54.0,2.92,8.5
55.0,3.02,8.62
56.0,3.06,8.74
57.0,3.05,8.82
58.0,2.99,8.95
59.0,2.92,9.04
60.0,2.84,9.15
61.0,2.77,9.25
62.0,2.7,9.34
63.0,2.67,9.45
64.0,2.67,9.55
65.0,2.7,9.61
66.0,2.78,9.67
67.0,2.9,9.84
68.0,3.09,9.9
69.0,3.28,10.05
70.0,3.55,10.08
71.0,3.84,10.18
72.0,4.16,10.27
73.0,4.48,10.35
74.0,4.79,10.48
75.0,5.07,10.48
76.0,5.31,10.6
77.0,5.49,10.71
78.0,5.58,10.77
79.0,5.62,10.84
80.0,5.61,10.89
81.0,5.56,10.99
82.0,5.47,11.06
83.0,5.36,11.18
84.0,5.25,11.22
85.0,5.13,11.28
86.0,5.02,11.39
87.0,4.93,11.45
88.0,4.86,11.54
89.0,4.81,11.57
90.0,4.79,11.64
91.0,4.79,11.72
92.0,4.84,11.79
93.0,4.92,11.84
94.0,5.02,11.88
95.0,5.16,11.97
96.0,5.33,12.03
97.0,5.53,12.08
98.0,5.77,12.17
99.0,6.05,12.24
100.0,6.34,12.24
101.0,6.67,12.32
102.0,7.01,12.39
103.0,7.37,12.45
104.0,7.72,12.51
105.0,8.09,12.59
106.0,8.42,12.6
107.0,8.74,12.66
108.0,9.02,12.71
109.0,9.27,12.75
110.0,9.49,12.81
111.0,9.66,12.87
112.0,9.79,12.93
113.0,9.88,12.98
114.0,9.93,13.04
115.0,9.95,13.08
116.0,9.92,13.13
117.0,9.88,13.17
118.0,9.81,13.28
119.0,9.73,13.22
120.0,9.63,13.26
121.0,9.51,13.34
122.0,9.4,13.35
123.0,9.31,13.44
124.0,9.21,13.49
125.0,9.11,13.52
126.0,9.03,13.58
127.0,8.95,13.59
128.0,8.88,13.64
129.0,8.83,13.67
130.0,8.79,13.71
131.0,8.77,13.76
132.0,8.76,13.79
133.0,8.77,13.83
134.0,8.79,13.86
135.0,8.83,13.92
136.0,8.88,13.97
137.0,8.94,14.0
138.0,9.02,14.03
139.0,9.11,14.06
140.0,9.23,14.09
141.0,9.34,14.12
142.0,9.48,14.12
143.0,9.63,14.16
144.0,9.79,14.22
145.0,9.96,14.25
146.0,9.92,14.27
147.0,9.92,14.31
148.0,9.92,14.34
149.0,9.92,14.37
150.0,9.92,14.39
151.0,9.92,14.46
152.0,9.92,14.46
153.0,9.92,14.48
154.0,9.92,14.55
155.0,9.92,14.54
