n/#,U/V,U/V.1
1.0,0.05,0.32
2.0,0.05,0.36
3.0,0.05,0.35
4.0,0.05,0.35
5.0,0.05,0.33
6.0,0.05,0.38
7.0,0.05,0.35
8.0,0.05,0.35
9.0,0.05,0.35
10.0,0.05,0.39
11.0,0.05,0.36
12.0,0.05,0.5
13.0,0.06,0.77
14.0,0.05,0.98
15.0,0.06,1.2
16.0,0.07,1.43
17.0,0.09,1.64
18.0,0.11,1.86
19.0,0.14,2.09
20.0,0.15,2.24
21.0,0.17,2.49
22.0,0.19,2.7
23.0,0.2,2.91
24.0,0.21,3.06
25.0,0.23,3.29
26.0,0.25,3.47
27.0,0.29,3.66
28.0,0.34,3.85
29.0,0.39,4.03
30.0,0.44,4.22
31.0,0.49,4.39
32.0,0.51,4.58
33.0,0.53,4.73
34.0,0.54,4.9
35.0,0.54,5.06
36.0,0.54,5.24
37.0,0.56,5.39
38.0,0.58,5.54
39.0,0.63,5.71
40.0,0.7,5.87
41.0,0.8,6.01
42.0,0.89,6.14
43.0,0.98,6.29
44.0,1.05,6.46
45.0,1.1,6.59
46.0,1.11,6.77
47.0,1.12,6.86
48.0,1.1,7.0
49.0,1.08,7.15
50.0,1.05,7.31
51.0,1.05,7.42
52.0,1.06,7.53
53.0,1.09,7.71
54.0,1.17,7.78
55.0,1.26,7.92
56.0,1.38,8.05
57.0,1.52,8.19
58.0,1.68,8.26
59.0,1.81,8.37
60.0,1.92,8.5
61.0,2.0,8.61
62.0,2.05,8.77
63.0,2.07,8.79
64.0,2.04,8.94
65.0,2.0,9.04
66.0,1.97,9.13
67.0,1.91,9.24
68.0,1.88,9.37
69.0,1.85,9.43
70.0,1.83,9.54
71.0,1.84,9.61
72.0,1.87,9.75
73.0,1.93,9.81
74.0,2.01,9.91
75.0,2.12,10.02
76.0,2.27,10.09
77.0,2.44,10.17
78.0,2.63,10.27
79.0,2.82,10.35
80.0,3.02,10.47
81.0,3.19,10.51
82.0,3.32,10.57
83.0,3.44,10.68
84.0,3.51,10.75
85.0,3.54,10.83
86.0,3.55,10.92
87.0,3.53,10.98
88.0,3.48,11.06
89.0,3.43,11.15
90.0,3.36,11.25
91.0,3.28,11.3
92.0,3.21,11.37
93.0,3.15,11.45
94.0,3.1,11.51
95.0,3.06,11.58
96.0,3.04,11.64
97.0,3.03,11.7
98.0,3.04,11.78
99.0,3.08,11.84
100.0,3.13,11.91
101.0,3.19,11.96
102.0,3.28,12.03
103.0,3.39,12.09
104.0,3.52,12.14
105.0,3.67,12.21
106.0,3.84,12.26
107.0,4.02,12.32
108.0,4.21,12.39
109.0,4.4,12.44
110.0,4.6,12.5
111.0,4.79,12.56
112.0,4.98,12.6
113.0,5.14,12.66
114.0,5.29,12.71
115.0,5.42,12.75
116.0,5.51,12.81
117.0,5.59,12.86
118.0,5.64,12.9
119.0,5.67,12.98
120.0,5.68,12.99
121.0,5.66,13.05
122.0,5.63,13.08
123.0,5.6,13.14
124.0,5.53,13.22
125.0,5.46,13.23
126.0,5.4,13.26
127.0,5.33,13.32
128.0,5.27,13.35
129.0,5.19,13.37
130.0,5.11,13.46
131.0,5.05,13.5
132.0,4.99,13.55
133.0,4.94,13.58
134.0,4.88,13.59
135.0,4.83,13.71
136.0,4.8,13.67
137.0,4.79,13.73
138.0,4.77,13.77
139.0,4.77,13.8
140.0,4.76,13.86
141.0,4.77,13.94
142.0,4.79,13.97
143.0,4.83,13.95
144.0,4.87,14.03
145.0,4.91,14.01
146.0,4.97,14.09
147.0,5.01,14.09
148.0,5.08,14.13
149.0,5.16,14.15
150.0,5.25,14.19
151.0,5.33,14.24
152.0,5.42,14.24
153.0,5.52,14.3
154.0,5.63,14.31
155.0,5.75,14.36
156.0,5.86,14.39
157.0,5.99,14.42
158.0,6.12,14.45
159.0,6.25,14.48
160.0,6.38,14.51
161.0,6.53,14.51
162.0,6.66,14.52
163.0,6.8,14.6
164.0,6.94,14.63
165.0,7.07,14.66
166.0,7.21,14.69
167.0,7.34,14.66
168.0,7.47,14.72
169.0,7.59,14.78
170.0,7.71,14.78
171.0,7.82,14.81
172.0,7.93,14.81
173.0,8.03,14.83
174.0,8.12,14.84
175.0,8.2,14.89
176.0,8.27,14.92
177.0,8.35,14.95
178.0,8.41,14.96
179.0,8.46,15.01
180.0,8.51,15.02
181.0,8.56,15.05
182.0,8.59,15.04
183.0,8.62,15.07
184.0,8.64,15.1
185.0,8.65,15.13
186.0,8.67,15.16
187.0,8.67,15.17
188.0,8.67,15.19
189.0,8.67,15.19
190.0,8.67,15.23
191.0,8.65,15.23
192.0,8.64,15.26
193.0,8.62,15.26
194.0,8.6,15.29
195.0,8.58,15.31
196.0,8.55,15.34
197.0,8.53,15.34
198.0,8.5,15.37
199.0,8.47,15.41
200.0,8.45,15.37
201.0,8.41,15.43
202.0,8.39,15.44
203.0,8.36,15.46
204.0,8.33,15.44
